190331;"""UNION 32MMX1"""" MH BRONCE MAYGAS""--MTO--";82733;0;0;0;0;MAYGAS;MTO;ACTIVO;"UNION 32MMX1"" MH BRONCE MAYGAS";UNION 32MM MH BRONCE MAYGAS MTO AMARILLO.jpg
190333;"""UNION 32MMX1"""" MM BRONCE MAYGAS""--MTO--";82833;0;0;0;0;MAYGAS;MTO;ACTIVO;"UNION 32MMX1"" MM BRONCE MAYGAS";UNION 32MM MM BRONCE MAYGAS MTO.jpg
190332;"""UNION 32MMX3/4"""" MH BRONCE MAYGAS""--MTO--";82752;0;0;0;5;MAYGAS;MTO;ACTIVO;"UNION 32MMX3/4"" MH BRONCE MAYGAS";UNION 32MM MH BRONCE MAYGAS MTO.jpg
191203;BOQUILLA 16MM MAYGAS;71316;83;0;0;7;MAYGAS;MTS;ACTIVO;;BOQUILLA 16MM MAYGAS.jpg
191210;BOQUILLA 20MM MAYGAS;71320;24;0;0;7;MAYGAS;MTS;ACTIVO;BOQUILLA 20MM MAYGAS;BOQUILLA 20MM MAYGAS.jpg
191220;BOQUILLA 25MM MAYGAS;71325;18;0;0;0;MAYGAS;MTS;ACTIVO;;BOQUILLA 25MM MAYGAS.jpg
191230;BOQUILLA 32MM MAYGAS;71332;19;0;0;3;MAYGAS;MTS;ACTIVO;;BOQUILLA 32MM MAYGAS.jpg
190410;BUJE 20X16MM MAYGAS;82651;0;0;0;53;MAYGAS;MTS;ACTIVO;;BUJE 20MM MAYGAS.jpg
190006;BUJE 20X16MM MAYGAS NEGRO;72651;33,482;0;3,04;0;MAYGAS;MTS;ACTIVO;BUJE 20X16MM MAYGAS NEGRO;BUJE 20MM MAYGAS NEGRO.jpg
190039;BUJE 25X16MM MAYGAS;72652;2,596;0;2,56;0;MAYGAS;MTS;ACTIVO;BUJE 25X16MM MAYGAS;BUJE 25MM MAYGAS.jpg
190420;BUJE 25X16MM MAYGAS;82652;0;0;0;13;MAYGAS;MTS;ACTIVO;;BUJE 25MM MAYGAS AMARILLO.jpg
190430;BUJE 25X20MM MAYGAS;82653;0;0;0;17;MAYGAS;MTS;ACTIVO;;BUJE 25MM1 MAYGAS AMARILLO.jpg
190452;BUJE 25X20MM NEGRO MAYGAS;72653;6,434;0;2,56;1;MAYGAS;MTS;ACTIVO;BUJE 25X20MM NEGRO MAYGAS;BUJE 25MM NEGRO MAYGAS.jpg
190040;BUJE 32X20MM MAYGAS;72654;502;0;0;0;MAYGAS;MTS;ACTIVO;BUJE 32X20MM MAYGAS;BUJE 32MM MAYGAS.jpg
190440;BUJE 32X20MM MAYGAS;82654;0;0;0;25;MAYGAS;MTS;ACTIVO;;BUJE 32MM MAYGAS AMARILLO.jpg
190450;BUJE 32X25MM MAYGAS--MTO--;82655;0;0;0;17;MAYGAS;MTO;ACTIVO;;BUJE 32MM MAYGAS MTO.jpg
190451;BUJE 32X25MM NEGRO MAYGAS;72655;585;2;0;0;MAYGAS;MTS;ACTIVO;BUJE 32X25MM NEGRO MAYGAS;BUJE 32MM NEGRO MAYGAS.jpg
190603;BUJE TESTIGO 16MM NEGRO MAYGAS;81916;186;0;0;5;MAYGAS;MTS;ACTIVO;;BUJE TESTIGO 16MM NEGRO MAYGAS.jpg
190610;BUJE TESTIGO 20MM NEGRO MAYGAS;81920;1,577;0;0;0;MAYGAS;MTS;ACTIVO;BUJE TESTIGO 20MM NEGRO MAYGAS --MTO--;BUJE TESTIGO 20MM NEGRO MAYGAS.jpg
190620;BUJE TESTIGO 25MM NEGRO MAYGAS--MTO--;81925;37;0;0;0;MAYGAS;MTO;ACTIVO;;BUJE TESTIGO 25MM NEGRO MAYGAS MTO.jpg
190630;BUJE TESTIGO 32MM NEGRO MAYGAS;81932;184;0;0;0;MAYGAS;MTS;ACTIVO;;BUJE TESTIGO 32MM NEGRO MAYGAS.jpg
190360;BUJE TESTIGO FUSION 16MM;71916;3,1;0;0;0;MAYGAS;MTS;ACTIVO;BUJE TESTIGO FUSION 16MM;BUJE TESTIGO FUSION 16MM.jpg
190361;BUJE TESTIGO FUSION 20MM;71920;396;0;0;0;MAYGAS;MTS;ACTIVO;BUJE TESTIGO FUSION 20MM;BUJE TESTIGO FUSION 20MM.jpg
190362;BUJE TESTIGO FUSION 25MM;71925;2,778;0;0;0;MAYGAS;MTS;ACTIVO;BUJE TESTIGO FUSION 25MM;BUJE TESTIGO FUSION 25MM.jpg
190363;BUJE TESTIGO FUSION 32MM;71932;1,176;0;0;0;MAYGAS;MTS;ACTIVO;BUJE TESTIGO FUSION 32MM;BUJE TESTIGO FUSION 32MM.jpg
190126;CABEZAL EXPANSOR MAYGAS 32MM--MTO--;71411;10;0;0;;MAYGAS;MTO;ACTIVO;CABEZAL EXPANSOR MAYGAS 32MM--MTO--;
191302;CABEZAL P/EXPANSORA 16-20-25MM;71410;12;0;0;1;MAYGAS;MTS;ACTIVO;CABEZAL P/EXPANSORA 16-20-25MM;CABEZAL EXPANSORA MM.jpg
190103;CODO 16MM AMARILLO MAYGAS;82016;0;0;0;19;MAYGAS;MTO;ACTIVO;CODO 16MM AMARILLO MAYGAS;CODO 16MM AMARILLO MAYGAS.jpg
190007;CODO 16MM NEGRO MAYGAS;72016;12,174;0;2;0;MAYGAS;MTS;ACTIVO;CODO 16MM NEGRO MAYGAS;CODO 16MM NEGRO MAYGAS.jpg
190108;"CODO 16MMX1/2"""" MH BRONCE  NEGRO MAYGAS";72160;6,245;0;10,02;1;MAYGAS;MTS;ACTIVO;"CODO 16MMX1/2"""" MH BRONCE NEGRO MAYGAS";CODO 16MM MH BRONCE  NEGRO MAYGAS.jpg
190105;"CODO 16MMX1/2"""" MH BRONCE MAYGAS";82160;0;0;0;76;MAYGAS;MTO;ACTIVO;"CODO 16MMX1/2"" MH BRONCE MAYGAS";CODO 16MM MH BRONCE MAYGAS.jpg
190110;CODO 20MM AMARILLO MAYGAS;82020;0;0;0;15;MAYGAS;MTS;ACTIVO;;CODO 20MM AMARILLO MAYGAS.jpg
190112;CODO 20MM NEGRO MAYGAS;72020;1,542;0;1,5;0;MAYGAS;MTS;ACTIVO;CODO 20MM NEGRO MAYGAS;CODO 20MM NEGRO MAYGAS.jpg
190120;CODO 25MM AMARILLO MAYGAS;82025;0;0;0;17;MAYGAS;MTS;ACTIVO;;CODO 25MM AMARILLO MAYGAS.jpg
190123;CODO 25MM NEGRO MAYGAS;72025;1,077;0;500;0;MAYGAS;MTS;ACTIVO;CODO 25MM NEGRO MAYGAS;CODO 25MM NEGRO MAYGAS.jpg
190109;"CODO 25MMX1/2"""" H NEGRO MAYGAS""";72151;671;0;100;0;MAYGAS;MTS;ACTIVO;"CODO 25MMX1/2"" H NEGRO MAYGAS";CODO 25MM H NEGRO MAYGAS.jpg
190130;CODO 32MM AMARILLO MAYGAS;82032;2;0;0;28;MAYGAS;MTS;ACTIVO;;CODO 32MM AMARILLO MAYGAS.jpg
190132;CODO 32MM NEGRO MAYGAS;72032;509;0;500;0;MAYGAS;MTS;ACTIVO;CODO 32MM NEGRO MAYGAS;CODO 32MM NEGRO MAYGAS.jpg
190931;CUPLA MAYGAS F/F 16MM NEGRA;72616;10,455;0;2,52;0;MAYGAS;MTS;ACTIVO;CUPLA MAYGAS F/F 16MM NEGRA;CUPLA MAYGAS FF 16MM NEGRA.jpg
191304;DOBLATUBO 16MM 10 MTS MAYGAS;71444;11;0;0;3;MAYGAS;MTS;ACTIVO;DOBLATUBO 16MM 10 MTS MAYGAS;DOBLATUBO 16MM 10 MTS MAYGAS.jpg
191303;DOBLATUBO 16MM 3 MTS MAYGAS-;71443;31;0;0;15;MAYGAS;MTS;ACTIVO;;DOBLATUBO 16MM 3 MTS MAYGAS.jpg
191311;DOBLATUBO 20MM 10 MTS MAYGAS--MTO--;71454;10;0;0;1;MAYGAS;MTS;ACTIVO;;DOBLATUBO 20MM 10 MTS MAYGAS MTO.jpg
191310;DOBLATUBO 20MM 3 MTS MAYGAS;71453;34;0;0;5;MAYGAS;MTS;ACTIVO;;DOBLATUBO 20MM 3 MTS MAYGAS.jpg
191321;DOBLATUBO 25MM 10 MTS MAYGAS-;71464;6;0;0;1;MAYGAS;MTS;ACTIVO;;DOBLATUBO 25MM 10 MTS MAYGAS.jpg
191320;DOBLATUBO 25MM 3 MTS MAYGAS--MTO--;71463;20;0;0;5;MAYGAS;MTO;ACTIVO;;DOBLATUBO 25MM 3 MTS MAYGAS MTO.jpg
191331;DOBLATUBO 32MM 10 MTS MAYGAS;71474;5;0;0;0;MAYGAS;MTS;ACTIVO;;DOBLATUBO 32MM 10 MTS MAYGAS.jpg
191330;DOBLATUBO 32MM 3 MTS MAYGAS;71473;10;0;0;0;MAYGAS;MTS;ACTIVO;;DOBLATUBO 32MM 3 MTS MAYGAS.jpg
191005;EXPANSORA 16-20-25 MAYGAS;71425;6;0;0;1;MAYGAS;MTS;ACTIVO;EXPANSORA 16-20-25 MAYGAS;EXPANSORA MAYGAS.jpg
191000;KIT EXPANSORA 16-20-25MM MAYGAS;81425;44;0;0;5;MAYGAS;MTS;ACTIVO;KIT EXPANSORA 16-20-25MM MAYGAS;KIT EXPANSORA 16_20_25MM MAYGAS.jpg
191001;KIT EXPANSORA 32MM MAYGAS--MTO--;81432;32;0;0;5;MAYGAS;MTO;ACTIVO;KIT EXPANSORA 32MM MAYGAS--MTO--;KIT EXPANSORA 32MM MAYGAS MTO.jpg
